Company,Role Level,Principle Name,Principle Description,Behavioral Question,Question Type,Difficulty,Quote,Source
PayPal,Mid Level,Innovation,Innovate to solve customer pain points,Describe identifying and solving significant customer problems.,Problem Solving,Medium,"Our mission is to democratize financial services to ensure everyone has access to affordable, convenient, and secure products.","Dan Schulman, Former CEO, PayPal, 2023"
PayPal,Senior,Collaboration,Collaborate to achieve shared success,Give me an example of bringing diverse teams together.,Teamwork,Medium,"Our mission is to democratize financial services to ensure everyone has access to affordable, convenient, and secure products.","Dan Schulman, Former CEO, PayPal, 2023"
PayPal,Leadership,Trust,Build trust through security and transparency,Tell me about building trust in challenging circumstances.,Culture Fit,Medium,"Our mission is to democratize financial services to ensure everyone has access to affordable, convenient, and secure products.","Dan Schulman, Former CEO, PayPal, 2023"
PayPal,Leadership,Global Impact,Create positive global impact through financial inclusion,Describe working on something with meaningful global impact.,Leadership,Hard,"Our mission is to democratize financial services to ensure everyone has access to affordable, convenient, and secure products.","Dan Schulman, Former CEO, PayPal, 2023"
Block,Entry Level,Accessibility,Make financial services accessible to everyone,Tell me about making something complex more accessible.,Culture Fit,Medium,We build tools to help increase access to the economy. We want to make commerce easy for everyone.,"Jack Dorsey, Co-Founder, Block, 2024"
Block,Mid Level,Empowerment,Empower individuals and businesses through technology,Describe using technology to empower others to achieve goals.,Values,Medium,We build tools to help increase access to the economy. We want to make commerce easy for everyone.,"Jack Dorsey, Co-Founder, Block, 2024"
Block,Senior,Innovation,Continuously innovate to solve real problems,Give me an example of developing innovative solutions to genuine problems.,Problem Solving,Hard,We build tools to help increase access to the economy. We want to make commerce easy for everyone.,"Jack Dorsey, Co-Founder, Block, 2024"
Block,Leadership,Integrity,Build trust through transparency and integrity,Tell me about being transparent about a difficult situation.,Leadership,Hard,We build tools to help increase access to the economy. We want to make commerce easy for everyone.,"Jack Dorsey, Co-Founder, Block, 2024"
Block,Leadership,Economic Empowerment,Increase access to the economy,Describe working to expand economic access for underserved populations.,Values,Medium,We build tools to help increase access to the economy. We want to make commerce easy for everyone.,"Jack Dorsey, Co-Founder, Block, 2024"
Lazard,Entry Level,Independent Advice,Provide truly independent strategic advice,Tell me about giving advice against popular opinion but right for client.,Values,Hard,We provide independent advice to help clients achieve their strategic objectives.,"Kenneth Jacobs, CEO, Lazard Annual Report, 2024"
Lazard,Mid Level,Global Expertise,Leverage global expertise and relationships,Describe using diverse perspectives to solve complex problems.,Problem Solving,Medium,We provide independent advice to help clients achieve their strategic objectives.,"Kenneth Jacobs, CEO, Lazard Annual Report, 2024"
Lazard,Senior,Long-term Relationships,Build lasting relationships based on trust,Give me an example of maintaining professional relationships over years.,Culture Fit,Medium,We provide independent advice to help clients achieve their strategic objectives.,"Kenneth Jacobs, CEO, Lazard Annual Report, 2024"
Lazard,Leadership,Intellectual Capital,Apply deep intellectual capital to create value,Tell me about expertise making significant difference in outcomes.,Leadership,Hard,We provide independent advice to help clients achieve their strategic objectives.,"Kenneth Jacobs, CEO, Lazard Annual Report, 2024"
Lazard,Leadership,Client Partnership,Act as true strategic partners to clients,Describe building genuine partnership with key stakeholder.,Teamwork,Medium,We provide independent advice to help clients achieve their strategic objectives.,"Kenneth Jacobs, CEO, Lazard Annual Report, 2024"
Evercore,Entry Level,Client Excellence,Deliver excellence in client service,Tell me about exceeding client expectations despite challenges.,Culture Fit,Medium,We are built on the principle that superior advice and service to clients drives success.,"Ralph Schlosstein, CEO, Evercore, 2023"
Evercore,Mid Level,Intellectual Honesty,Maintain intellectual honesty in all interactions,Describe delivering unpopular but necessary recommendations.,Values,Hard,We are built on the principle that superior advice and service to clients drives success.,"Ralph Schlosstein, CEO, Evercore, 2023"
Evercore,Senior,Collaborative Excellence,Collaborate effectively across teams,Give me an example of managing complex multi-team projects.,Teamwork,Medium,We are built on the principle that superior advice and service to clients drives success.,"Ralph Schlosstein, CEO, Evercore, 2023"
Evercore,Leadership,Innovation,Innovate to solve complex client challenges,Tell me about developing innovative approach for unique situations.,Problem Solving,Hard,We are built on the principle that superior advice and service to clients drives success.,"Ralph Schlosstein, CEO, Evercore, 2023"
Evercore,Leadership,Trust Building,Build deep trust with clients and stakeholders,Describe building trust in high-stakes situation.,Leadership,Medium,We are built on the principle that superior advice and service to clients drives success.,"Ralph Schlosstein, CEO, Evercore, 2023"
Berkshire Hathaway,Entry Level,Long-term Value Creation,Focus on long-term value over short-term results,Tell me about sacrificing short-term gains for long-term value.,Values,Hard,Our goal is to increase per-share intrinsic value at a reasonable rate over time.,"Warren Buffett, Chairman, Berkshire Annual Letter, 2024"
Berkshire Hathaway,Mid Level,Integrity,Conduct business with absolute integrity,Describe facing ethical dilemma and choosing harder but right path.,Culture Fit,Hard,Our goal is to increase per-share intrinsic value at a reasonable rate over time.,"Warren Buffett, Chairman, Berkshire Annual Letter, 2024"
Berkshire Hathaway,Senior,Decentralized Management,Empower managers with autonomy and accountability,Give me an example of empowering others with significant autonomy.,Leadership,Medium,Our goal is to increase per-share intrinsic value at a reasonable rate over time.,"Warren Buffett, Chairman, Berkshire Annual Letter, 2024"
Berkshire Hathaway,Leadership,Capital Allocation,Allocate capital wisely for maximum returns,Tell me about making difficult resource allocation decisions.,Problem Solving,Hard,Our goal is to increase per-share intrinsic value at a reasonable rate over time.,"Warren Buffett, Chairman, Berkshire Annual Letter, 2024"
Berkshire Hathaway,Leadership,Stewardship,Act as faithful stewards of shareholder capital,Describe prioritizing shareholder interests in challenging situation.,Values,Hard,Our goal is to increase per-share intrinsic value at a reasonable rate over time.,"Warren Buffett, Chairman, Berkshire Annual Letter, 2024"
AIG,Entry Level,Client Focus,Put clients at center of everything we do,Tell me about going above and beyond to solve client problems.,Culture Fit,Medium,We help clients manage risk and realize opportunities through global network and deep expertise.,"Peter Zaffino, CEO, AIG Annual Report, 2024"
AIG,Mid Level,Risk Excellence,Excel in risk assessment and management,Describe identifying and managing significant risks others missed.,Problem Solving,Hard,We help clients manage risk and realize opportunities through global network and deep expertise.,"Peter Zaffino, CEO, AIG Annual Report, 2024"
AIG,Senior,Innovation,Drive innovation in insurance solutions,Give me an example of developing innovative approaches for client needs.,Leadership,Medium,We help clients manage risk and realize opportunities through global network and deep expertise.,"Peter Zaffino, CEO, AIG Annual Report, 2024"
AIG,Leadership,Global Collaboration,Collaborate effectively across global markets,Tell me about working across different cultures to achieve results.,Teamwork,Medium,We help clients manage risk and realize opportunities through global network and deep expertise.,"Peter Zaffino, CEO, AIG Annual Report, 2024"
AIG,Leadership,Trust Building,Build trust through reliable service and expertise,Describe building trust with clients during challenging circumstances.,Values,Medium,We help clients manage risk and realize opportunities through global network and deep expertise.,"Peter Zaffino, CEO, AIG Annual Report, 2024"
