company,role,principle_name,principle_description,question,question_type,difficulty,source
Novartis,Entry Level,Inspired,Be passionate about making a difference,Describe what motivates you to excel in challenging situations.,Culture Fit,Medium,Company Values
Novartis,Mid Level,Curious,Continuously learn and explore new possibilities,Tell me about a time when curiosity led you to discover an important insight.,Problem Solving,Medium,Company Values
Novartis,Senior,Unbossed,Take initiative without waiting for direction,Give me an example of when you proactively solved a problem before it became critical.,Leadership,Hard,Company Values
Novartis,Leadership,Unleashed,Empower others to achieve their best,Describe how you've developed and empowered high-performing teams.,Leadership,Hard,Company Values
Roche,Entry Level,Integrity,Act with honesty and transparency,Tell me about a difficult decision where you chose integrity over convenience.,Values,Medium,Company Values
Roche,Mid Level,Courage,Take bold actions to advance patient care,Describe a time when you took a courageous stand for what you believed was right.,Culture Fit,Medium,Company Values
Roche,Senior,Passion,Show dedication to improving lives,Give me an example of how your passion has driven exceptional results in your work.,Leadership,Hard,Company Values
Roche,Leadership,Sustainability,Consider long-term impact in all decisions,Tell me about how you've balanced immediate needs with long-term sustainability.,Leadership,Hard,Company Values
Merck,Entry Level,Our Patients,Keep patients as our North Star,Describe a time when you made a decision based primarily on end-user benefit.,Culture Fit,Medium,Company Values
Merck,Mid Level,Our People,Value and develop our colleagues,Tell me about how you've invested in someone else's professional development.,Teamwork,Medium,Company Values
Merck,Senior,Our Company,Act as stewards of the company's reputation,Give me an example of how you've protected and enhanced organizational reputation.,Leadership,Hard,Company Values
Merck,Leadership,Our World,Consider broader societal impact,Describe an initiative you led that created value beyond immediate business results.,Leadership,Hard,Company Values
AbbVie,Entry Level,Passion,Bring energy and enthusiasm to work,Tell me about a project where your passion was contagious and inspired others.,Culture Fit,Medium,Company Culture
AbbVie,Mid Level,Urgency,Act with speed when patients are waiting,Describe a situation where you had to balance speed with thoroughness.,Problem Solving,Medium,Company Culture
AbbVie,Senior,Innovation,Push boundaries to advance medicine,Give me an example of how you've challenged conventional approaches in your field.,Problem Solving,Hard,Company Culture
AbbVie,Leadership,Humility,Stay grounded and learning-oriented,Tell me about a time when admitting you didn't know something led to better outcomes.,Values,Hard,Company Culture
Bristol Myers Squibb,Entry Level,Follow the Science,Make evidence-based decisions,Describe a time when data changed your initial assumptions about a problem.,Problem Solving,Medium,Company Values
Bristol Myers Squibb,Mid Level,Do the Right Thing,Act with integrity in all situations,Tell me about a difficult situation where you chose to do what was right over what was easy.,Values,Medium,Company Values
Bristol Myers Squibb,Senior,Include Everyone,Embrace diverse perspectives,Give me an example of how diverse viewpoints improved a decision or outcome.,Teamwork,Hard,Company Values
Bristol Myers Squibb,Leadership,Go Beyond,Exceed expectations to serve patients,Describe how you've pushed your team to achieve results beyond what was expected.,Leadership,Hard,Company Values
Eli Lilly,Entry Level,Integrity,Maintain the highest ethical standards,Tell me about a time when you had to make a tough ethical choice.,Values,Medium,Company Core Values
Eli Lilly,Mid Level,Excellence,Strive for excellence in everything we do,Describe a situation where you refused to settle for good enough.,Culture Fit,Medium,Company Core Values
Eli Lilly,Senior,Respect for People,Value every individual,Give me an example of how you've shown respect for diverse perspectives in decision-making.,Values,Hard,Company Core Values
Eli Lilly,Leadership,Making Life Better,Focus on improving lives through our work,Tell me about an initiative you led that had meaningful impact on people's lives.,Leadership,Hard,Company Core Values
Walmart,Entry Level,Service to the Customer,Put customers first in all decisions,Describe a time when you went above and beyond to meet a customer's needs.,Culture Fit,Medium,Company Culture
Walmart,Mid Level,Respect for the Individual,Value every person's contribution,Tell me about how you've made someone feel valued despite their different perspective.,Values,Medium,Company Culture
Walmart,Senior,Strive for Excellence,Continuously improve and innovate,Give me an example of how you've driven continuous improvement in your organization.,Problem Solving,Hard,Company Culture
Walmart,Leadership,Act with Integrity,Do the right thing even when difficult,Describe a situation where maintaining integrity required personal sacrifice.,Leadership,Hard,Company Culture
Target,Entry Level,Care,Show genuine concern for people and communities,Tell me about a time when you demonstrated care beyond your job requirements.,Culture Fit,Medium,Company Values
Target,Mid Level,Grow,Continuously develop yourself and others,Describe how you've helped someone else grow professionally.,Teamwork,Medium,Company Values
Target,Senior,Win Together,Collaborate to achieve shared success,Give me an example of how you've unified competing teams around a common goal.,Leadership,Hard,Company Values
Target,Leadership,Own It,Take accountability for results,Tell me about a time when you took full ownership of a challenging situation.,Leadership,Hard,Company Values
Home Depot,Entry Level,Respect for All People,Treat everyone with dignity and respect,Describe a situation where you advocated for respectful treatment of all stakeholders.,Values,Medium,Company Values
Home Depot,Mid Level,Excellent Customer Service,Exceed customer expectations,Tell me about a time when you delivered exceptional service despite challenging circumstances.,Culture Fit,Medium,Company Values
Home Depot,Senior,Taking Care of Our People,Invest in employee development and well-being,Give me an example of how you've balanced high performance with employee well-being.,Leadership,Hard,Company Values
Home Depot,Leadership,Giving Back,Contribute to communities we serve,Describe an initiative you led that created value for the broader community.,Leadership,Hard,Company Values
McDonald's,Entry Level,Serve,Focus on serving customers and communities,Tell me about a time when you prioritized service over personal convenience.,Culture Fit,Medium,Company Values
McDonald's,Mid Level,Inclusion,Create an environment where everyone belongs,Describe how you've fostered inclusion in a diverse team setting.,Values,Medium,Company Values
McDonald's,Senior,Integrity,Act with honesty and transparency,Give me an example of when maintaining integrity required difficult conversations.,Values,Hard,Company Values
McDonald's,Leadership,Community,Build connections that strengthen communities,Tell me about how you've built community within your organization.,Leadership,Hard,Company Values
Disney,Entry Level,Optimism,Maintain a positive outlook,Describe a time when your optimism helped others persevere through challenges.,Culture Fit,Medium,Company Culture
Disney,Mid Level,Innovation,Continuously create new magic,Tell me about an innovative idea you developed that surprised and delighted stakeholders.,Problem Solving,Medium,Company Culture
Disney,Senior,Decency,Treat others with respect and fairness,Give me an example of how you've maintained decency during a difficult conflict.,Values,Hard,Company Culture
Disney,Leadership,Quality,Deliver excellence in everything we do,Describe how you've established and maintained excellence standards in your organization.,Leadership,Hard,Company Culture
Procter & Gamble,Entry Level,Integrity,Do the right thing with consistency,Tell me about a time when you maintained high ethical standards under pressure.,Values,Medium,Company Principles
Procter & Gamble,Mid Level,Leadership,Take initiative to drive results,Describe a situation where you stepped up to lead when leadership was needed.,Leadership,Medium,Company Principles
Procter & Gamble,Senior,Ownership,Act like an owner in all decisions,Give me an example of how you've balanced short-term and long-term thinking.,Leadership,Hard,Company Principles
Procter & Gamble,Leadership,Passion for Winning,Compete to win in the marketplace,Tell me about how you've instilled a winning mindset in your team.,Leadership,Hard,Company Principles
Tesla,Entry Level,Do the Right Thing,Act with integrity even when difficult,Describe a situation where you chose to do what was right over what was profitable.,Values,Medium,Company Culture
Tesla,Mid Level,Think Like an Owner,Make decisions as if you own the company,Tell me about a time when you made a decision that prioritized long-term success over short-term gains.,Culture Fit,Medium,Company Culture
Tesla,Senior,We are ALL IN,Commit fully to the mission,Give me an example of how you've demonstrated exceptional commitment during challenging times.,Leadership,Hard,Company Culture
Tesla,Leadership,Move Fast,Execute with urgency and precision,Describe how you've accelerated important initiatives without sacrificing quality.,Leadership,Hard,Company Culture
Ford,Entry Level,People First,Put people at the center of everything,Tell me about a time when you prioritized employee well-being in your decision-making.,Culture Fit,Medium,Company Values
Ford,Mid Level,Customer Obsessed,Exceed customer expectations consistently,Describe a situation where you went beyond requirements to create customer value.,Culture Fit,Medium,Company Values
Ford,Senior,Play to Win,Compete with determination and resilience,Give me an example of how you've maintained competitive focus during setbacks.,Leadership,Hard,Company Values
Ford,Leadership,Build Smart,Make intelligent decisions with available resources,Tell me about how you've optimized resources to achieve ambitious goals.,Leadership,Hard,Company Values
GM,Entry Level,Customer First,Put customers at the center of decisions,Describe a time when you advocated for customer needs in product development.,Culture Fit,Medium,Company Culture
GM,Mid Level,Relationships,Build trust through authentic connections,Tell me about how you've developed strong working relationships with challenging stakeholders.,Teamwork,Medium,Company Culture
GM,Senior,Excellence,Deliver outstanding results consistently,Give me an example of how you've maintained excellence during rapid change.,Leadership,Hard,Company Culture
GM,Leadership,Integrity,Act with honesty and transparency,Describe a situation where maintaining integrity required difficult conversations with leadership.,Values,Hard,Company Culture
BMW,Entry Level,Responsibility,Take ownership for actions and decisions,Tell me about a time when you took responsibility for a team failure.,Values,Medium,Company Values
BMW,Mid Level,Appreciation,Value diverse perspectives and contributions,Describe how you've leveraged diverse viewpoints to improve outcomes.,Teamwork,Medium,Company Values
BMW,Senior,Transparency,Communicate openly and honestly,Give me an example of how transparent communication helped resolve a complex issue.,Leadership,Hard,Company Values
BMW,Leadership,Trust,Build confidence through consistent actions,Tell me about how you've rebuilt trust after it was damaged.,Leadership,Hard,Company Values
Mercedes,Entry Level,Passion,Show enthusiasm for automotive excellence,Describe what drives your passion for delivering exceptional work.,Culture Fit,Medium,Company Culture
Mercedes,Mid Level,Respect,Value every individual's contribution,Tell me about how you've shown respect for different working styles or approaches.,Values,Medium,Company Culture
Mercedes,Senior,Integrity,Maintain the highest ethical standards,Give me an example of when you had to choose between easy profits and doing right.,Values,Hard,Company Culture
Mercedes,Leadership,Responsibility,Take accountability for sustainable business practices,Describe how you've balanced performance targets with sustainable practices.,Leadership,Hard,Company Culture
Toyota,Entry Level,Continuous Improvement,Always seek ways to get better,Tell me about a time when you identified and implemented a process improvement.,Problem Solving,Medium,Toyota Way
Toyota,Mid Level,Respect for People,Value every team member's contribution,Describe how you've empowered others to contribute their best work.,Teamwork,Medium,Toyota Way
Toyota,Senior,Long-term Thinking,Make decisions with future impact in mind,Give me an example of how you've balanced short-term pressures with long-term vision.,Leadership,Hard,Toyota Way
Toyota,Leadership,Go and See,Understand problems firsthand,Tell me about a time when direct observation changed your understanding of a problem.,Leadership,Hard,Toyota Way
ExxonMobil,Entry Level,Safety,Prioritize safety in all operations,Describe a situation where you had to choose between speed and safety.,Values,Medium,Company Values
ExxonMobil,Mid Level,Integrity,Conduct business with highest ethical standards,Tell me about a time when maintaining integrity required personal sacrifice.,Values,Medium,Company Values
ExxonMobil,Senior,Respect,Treat all people with dignity and fairness,Give me an example of how you've fostered respect in a culturally diverse environment.,Teamwork,Hard,Company Values
ExxonMobil,Leadership,Excellence,Strive for excellence in everything we do,Describe how you've established a culture of excellence in your organization.,Leadership,Hard,Company Values
Shell,Entry Level,Honesty,Communicate with transparency and truth,Tell me about a time when being honest led to a better outcome despite initial discomfort.,Values,Medium,Company Core Values
Shell,Mid Level,Integrity,Act consistently with values and principles,Describe a situation where you maintained your principles under significant pressure.,Values,Medium,Company Core Values
Shell,Senior,Respect,Value diverse perspectives and treat all fairly,Give me an example of how you've leveraged diversity to solve complex challenges.,Teamwork,Hard,Company Core Values
Shell,Leadership,Innovation,Drive innovation for sustainable energy solutions,Tell me about how you've led innovation initiatives that created lasting value.,Leadership,Hard,Company Core Values
Chevron,Entry Level,Integrity,Earn trust through ethical conduct,Describe a time when you built trust by consistently doing what you said you'd do.,Values,Medium,Company Values
Chevron,Mid Level,Partnership,Work collaboratively for mutual success,Tell me about how you've built partnerships that created value for all parties.,Teamwork,Medium,Company Values
Chevron,Senior,Performance,Deliver results that exceed expectations,Give me an example of how you've consistently delivered exceptional performance.,Leadership,Hard,Company Values
Chevron,Leadership,People,Develop and empower high-performing teams,Describe how you've developed leaders within your organization.,Leadership,Hard,Company Values
BP,Entry Level,Safety,Make safety the top priority,Tell me about a time when you had to stop work due to safety concerns.,Values,Medium,Company Values
BP,Mid Level,Respect,Treat everyone with dignity,Describe how you've maintained respect during a heated disagreement.,Teamwork,Medium,Company Values
BP,Senior,Excellence,Strive for outstanding performance,Give me an example of how you've raised performance standards in your team.,Leadership,Hard,Company Values
BP,Leadership,Courage,Take bold action when necessary,Tell me about a time when you took a courageous stand that others were afraid to take.,Leadership,Hard,Company Values
Total,Entry Level,Safety,Prioritize safety above all else,Describe a situation where you chose safety over meeting a deadline.,Values,Medium,Company Commitments
Total,Mid Level,Pioneer Spirit,Drive innovation and exploration,Tell me about an innovative approach you pioneered that others later adopted.,Problem Solving,Medium,Company Commitments
Total,Senior,Solidarity,Support colleagues and communities,Give me an example of how you've shown solidarity during a crisis or challenge.,Teamwork,Hard,Company Commitments
Total,Leadership,Efficiency,Optimize performance and resource utilization,Describe how you've improved efficiency while maintaining quality standards.,Leadership,Hard,Company Commitments
Comcast,Entry Level,Integrity,Act with honesty and transparency,Tell me about a time when you had to admit an error and explain how you fixed it.,Values,Medium,Company Values
Comcast,Mid Level,Accountability,Take ownership of results and decisions,Describe a situation where you took accountability for a team's underperformance.,Leadership,Medium,Company Values
Comcast,Senior,Pioneering,Drive innovation and new thinking,Give me an example of how you've introduced innovative solutions to old problems.,Problem Solving,Hard,Company Values
Comcast,Leadership,Collaboration,Work together to achieve exceptional results,Tell me about how you've fostered collaboration across different business units.,Teamwork,Hard,Company Values
Warner Bros Discovery,Entry Level,Courage,Take bold creative and business risks,Describe a time when you took a calculated risk that led to significant positive outcomes.,Culture Fit,Medium,Company Values
Warner Bros Discovery,Mid Level,Curiosity,Always seek to learn and understand more,Tell me about how curiosity led you to uncover an important opportunity.,Problem Solving,Medium,Company Values
Warner Bros Discovery,Senior,Collaboration,Work together to create extraordinary content,Give me an example of how collaboration improved a creative or business outcome.,Teamwork,Hard,Company Values
Warner Bros Discovery,Leadership,Authenticity,Stay true to values while driving results,Describe how authentic leadership has helped you build trust and drive performance.,Leadership,Hard,Company Values
Fox,Entry Level,Innovation,Push boundaries in content and technology,Tell me about a time when you challenged conventional thinking to create something new.,Problem Solving,Medium,Company Culture
Fox,Mid Level,Excellence,Deliver outstanding content and experiences,Describe how you've maintained high quality standards under tight deadlines.,Culture Fit,Medium,Company Culture
Fox,Senior,Collaboration,Work together to create compelling stories,Give me an example of how you've facilitated creative collaboration.,Teamwork,Hard,Company Culture
Fox,Leadership,Integrity,Maintain ethical standards in all business practices,Tell me about a time when you had to make a principled decision that was unpopular.,Values,Hard,Company Culture
GE,Entry Level,Customer Focus,Put customers at the center of everything we do,Describe a time when you modified your approach based on customer feedback.,Culture Fit,Medium,Company Values
GE,Mid Level,Meritocracy,Reward based on performance and contribution,Tell me about how you've recognized and rewarded exceptional performance.,Leadership,Medium,Company Values
GE,Senior,Informality,Encourage open communication and accessibility,Give me an example of how you've broken down hierarchical barriers to improve communication.,Teamwork,Hard,Company Values
GE,Leadership,Speed,Execute with urgency and decisiveness,Describe how you've accelerated decision-making processes without sacrificing quality.,Leadership,Hard,Company Values
Caterpillar,Entry Level,Integrity,Do what's right even when no one is watching,Tell me about a time when you chose to do the right thing despite personal cost.,Values,Medium,Company Values
Caterpillar,Mid Level,Excellence,Strive for excellence in everything we do,Describe a project where you exceeded expectations through attention to detail.,Culture Fit,Medium,Company Values
Caterpillar,Senior,Teamwork,Work together to achieve shared goals,Give me an example of how you've built effective teams across different functions.,Teamwork,Hard,Company Values
Caterpillar,Leadership,Commitment,Stay dedicated to our purpose and people,Tell me about how you've demonstrated unwavering commitment during challenging times.,Leadership,Hard,Company Values
Honeywell,Entry Level,Integrity,Act with honesty in all business dealings,Describe a situation where maintaining integrity improved a business relationship.,Values,Medium,Company Values
Honeywell,Mid Level,Safety,Prioritize safety in everything we do,Tell me about a time when you implemented safety improvements that others later adopted.,Problem Solving,Medium,Company Values
Honeywell,Senior,Quality,Deliver products and services of exceptional quality,Give me an example of how you've built quality into processes from the beginning.,Leadership,Hard,Company Values
Honeywell,Leadership,Innovation,Drive innovation to solve customer problems,Describe how you've fostered an innovative culture within your organization.,Leadership,Hard,Company Values
Siemens,Entry Level,Responsible,Act responsibly toward society and environment,Tell me about a decision you made that considered broader social impact.,Values,Medium,Company Values
Siemens,Mid Level,Excellent,Strive for excellence and continuous improvement,Describe how you've implemented continuous improvement in your work processes.,Problem Solving,Medium,Company Values
Siemens,Senior,Innovative,Drive innovation to create value,Give me an example of how you've turned innovative ideas into practical business value.,Leadership,Hard,Company Values
Siemens,Leadership,Global,Think and act with global perspective,Tell me about how you've successfully managed global teams or initiatives.,Leadership,Hard,Company Values
ABB,Entry Level,Integrity,Maintain the highest ethical standards,Describe a time when you faced an ethical dilemma and how you resolved it.,Values,Medium,Company Values
ABB,Mid Level,Responsibility,Take ownership for actions and outcomes,Tell me about a situation where you took responsibility for a difficult situation.,Leadership,Medium,Company Values
ABB,Senior,Innovation,Drive innovation for sustainable development,Give me an example of how you've balanced innovation with practical implementation.,Problem Solving,Hard,Company Values
ABB,Leadership,Collaboration,Work together to achieve extraordinary results,Describe how you've fostered collaboration across different cultures and time zones.,Teamwork,Hard,Company Values
Roland Berger,Entry Level,Entrepreneurship,Actively exploring unconventional ideas and taking calculated risks,"Tell me about a time when you pursued an unconventional solution to a problem, even when others were skeptical.",Problem Solving,Medium,Roland Berger Values
Roland Berger,Mid Level,Excellence,Pursuing excellence in work and developing best practices,"Describe a situation where you went above and beyond to deliver excellent results for a client or project.",Culture Fit,Medium,Roland Berger Values
Roland Berger,Senior,Empathy,Acting as insightful and respectful advisors by understanding client positions,"Give me an example of when you had to understand a stakeholder's perspective to provide better advice or solutions.",Leadership,High,Roland Berger Values
Roland Berger,Leadership,Independence,Making autonomous decisions while maintaining ownership mentality,"Tell me about a time when you had to make a critical business decision independently without guidance from leadership.",Leadership,High,Roland Berger 9 Pledges
Roland Berger,Mid Level,Diversity & Inclusion,Valuing different perspectives and creating inclusive environments,"Describe a time when you leveraged diverse perspectives on your team to achieve better outcomes.",Teamwork,Medium,Roland Berger Culture
Roland Berger,Entry Level,Responsibility,Taking ownership of decisions and outcomes early in career,"Give me an example of when you took responsibility for a mistake and how you resolved it.",Values,Medium,Roland Berger Culture
Deutsche Bank,Mid Level,Client Centricity,Placing clients at the center and delivering on promises,"Tell me about a time when you had to go the extra mile to meet a client's expectations despite challenges.",Culture Fit,Medium,Deutsche Bank Core Values
Deutsche Bank,Senior,Integrity,Acting with honesty and maintaining high ethical standards,"Describe a situation where you had to make an ethical decision that was difficult but right for the business.",Values,High,Deutsche Bank Core Values
Deutsche Bank,Leadership,Sustainable Performance,Balancing risks and returns for long-term success,"Give me an example of when you had to balance short-term pressures with long-term strategic goals.",Leadership,High,Deutsche Bank Core Values
Deutsche Bank,Mid Level,Innovation,Embracing new approaches with careful risk management,"Tell me about a time when you introduced an innovative solution while managing associated risks.",Problem Solving,Medium,Deutsche Bank Core Values
Deutsche Bank,Entry Level,Discipline,Accepting responsibility and learning from mistakes,"Describe a time when you made a mistake and what you learned from that experience.",Values,Low,Deutsche Bank Core Values
Deutsche Bank,Senior,Global Collaboration,Working effectively across different time zones and cultures,"Give me an example of leading a cross-cultural team across multiple regions to achieve project goals.",Teamwork,High,Deutsche Bank Interview Focus
UBS,Mid Level,Client Focus,Putting client needs first in all decisions,"Tell me about a time when you had to prioritize a client's needs over internal convenience.",Culture Fit,Medium,UBS Values
UBS,Senior,Integrity,Building trust through ethical behavior and transparency,"Describe a situation where you had to maintain transparency even when it was uncomfortable.",Values,High,UBS Values
UBS,Leadership,Excellence,Striving for the highest standards in everything we do,"Give me an example of when you raised the bar for performance on your team or in your organization.",Leadership,High,UBS Values
UBS,Entry Level,Collaboration,Working together to achieve shared goals,"Tell me about a successful collaboration where you had to work with people from different departments.",Teamwork,Low,UBS Culture
UBS,Mid Level,Innovation,Finding better ways to serve clients and grow the business,"Describe a time when you identified and implemented a process improvement that benefited clients.",Problem Solving,Medium,UBS Culture
Credit Suisse,Senior,Client Partnership,Building long-term relationships based on trust and value,"Give me an example of how you built and maintained a strong client relationship over time.",Culture Fit,High,Credit Suisse Values
Credit Suisse,Mid Level,Risk Management,Making informed decisions while managing potential risks,"Tell me about a time when you had to assess and mitigate risks in a complex situation.",Problem Solving,Medium,Credit Suisse Culture
Credit Suisse,Leadership,Performance Culture,Driving results and accountability,"Describe how you've created a culture of accountability and high performance in your team.",Leadership,High,Credit Suisse Culture
Barclays,Entry Level,Respect,Treating everyone with dignity and valuing diverse perspectives,"Tell me about a time when you helped create an inclusive environment for someone who felt excluded.",Values,Medium,Barclays Values
Barclays,Mid Level,Integrity,Doing the right thing even when no one is watching,"Describe a situation where you had to do the right thing despite potential negative consequences for yourself.",Values,Medium,Barclays Values
Barclays,Senior,Service,Going above and beyond for clients and colleagues,"Give me an example of when you provided exceptional service that exceeded expectations.",Culture Fit,High,Barclays Values
Barclays,Leadership,Stewardship,Taking care of the bank's resources and reputation for future generations,"Tell me about a time when you made a decision that prioritized long-term sustainability over short-term gains.",Leadership,High,Barclays Values
Barclays,Mid Level,Excellence,Continuously improving and setting high standards,"Describe how you've driven continuous improvement in a process or team.",Problem Solving,Medium,Barclays Values
HSBC,Senior,Dependability,Being reliable and trustworthy in all interactions,"Give me an example of when your reliability was crucial to a project's success.",Culture Fit,High,HSBC Values
HSBC,Mid Level,Open to Different Ideas,Embracing diverse perspectives and new approaches,"Tell me about a time when you changed your approach based on input from someone with a different perspective.",Teamwork,Medium,HSBC Values
HSBC,Leadership,Connected,Building relationships across the organization and with clients,"Describe how you've built and maintained important relationships that drove business results.",Leadership,High,HSBC Values
HSBC,Entry Level,Global Perspective,Understanding different markets and cultural contexts,"Give me an example of when you had to adapt your approach for different cultural contexts.",Culture Fit,Low,HSBC Culture
BNP Paribas,Mid Level,Commitment,Demonstrating dedication to clients and the organization,"Tell me about a time when you showed exceptional commitment to achieving a goal.",Values,Medium,BNP Paribas Values
BNP Paribas,Senior,Responsiveness,Acting quickly and efficiently to meet client needs,"Describe a situation where your quick response made a significant difference for a client.",Culture Fit,High,BNP Paribas Values
BNP Paribas,Leadership,Team Spirit,Fostering collaboration and collective success,"Give me an example of how you've built team spirit and collaboration in a challenging environment.",Leadership,High,BNP Paribas Values
BNP Paribas,Entry Level,Innovation,Finding creative solutions to complex challenges,"Tell me about a time when you came up with a creative solution to solve a problem.",Problem Solving,Low,BNP Paribas Culture
Nestlé,Mid Level,Respect for People,Honoring commitments and treating everyone with dignity,"Tell me about a time when you had to honor a difficult commitment that required personal sacrifice.",Values,Medium,Nestlé Core Values
Nestlé,Senior,Quality & Nutrition,Focusing on improving lives through better products,"Describe how you've contributed to improving quality or outcomes in your work.",Culture Fit,High,Nestlé Mission
Nestlé,Leadership,Sustainability,Managing business in socially and environmentally responsible ways,"Give me an example of when you balanced business objectives with sustainability considerations.",Leadership,High,Nestlé Values
Nestlé,Entry Level,Continuous Learning,Embracing growth opportunities and new challenges,"Tell me about a time when you took on a challenge outside your comfort zone to learn and grow.",Values,Low,Nestlé Culture
Nestlé,Mid Level,Collaboration,Working effectively across diverse teams and cultures,"Describe a successful collaboration with people from different cultural backgrounds.",Teamwork,Medium,Nestlé Culture
Nestlé,Senior,Innovation,Unlocking the power of food to enhance quality of life,"Give me an example of when you introduced an innovation that improved outcomes for customers.",Problem Solving,High,Nestlé Mission
L'Oréal,Mid Level,Passion,Showing enthusiasm and energy for the work and brand,"Tell me about a time when your passion for a project motivated others and drove exceptional results.",Culture Fit,Medium,L'Oréal Values
L'Oréal,Senior,Innovation,Pioneering new approaches and breakthrough solutions,"Describe when you led an innovative initiative that transformed how your team approached a challenge.",Leadership,High,L'Oréal Values
L'Oréal,Leadership,Entrepreneurship,Taking initiative and ownership like a business owner,"Give me an example of when you identified and pursued a new opportunity with entrepreneurial spirit.",Leadership,High,L'Oréal Values
L'Oréal,Entry Level,Integrity,Acting ethically and transparently in all situations,"Tell me about a time when you had to maintain ethical standards despite pressure to compromise.",Values,Medium,L'Oréal Values
L'Oréal,Mid Level,Diversity & Beauty,Celebrating differences and inclusive beauty standards,"Describe how you've promoted diversity and inclusion in your workplace or community.",Values,Medium,L'Oréal Mission
LVMH,Senior,Excellence,Pursuing the highest quality in craftsmanship and service,"Give me an example of when you maintained exceptionally high standards despite time or budget pressures.",Culture Fit,High,LVMH Values
LVMH,Leadership,Creativity,Fostering artistic vision and innovative expression,"Tell me about a time when you encouraged creative thinking that led to breakthrough results.",Leadership,High,LVMH Values
LVMH,Mid Level,Heritage & Innovation,Balancing tradition with modern approaches,"Describe a situation where you successfully balanced respect for tradition with the need for innovation.",Problem Solving,Medium,LVMH Values
LVMH,Entry Level,Customer Experience,Creating exceptional experiences for luxury clients,"Give me an example of when you went above and beyond to create a memorable experience for someone.",Culture Fit,Low,LVMH Focus
Siemens,Mid Level,Responsible,Acting sustainably and ethically in all decisions,"Tell me about a time when you had to make a responsible decision that required sacrificing short-term benefits.",Values,Medium,Siemens Values
Siemens,Senior,Excellent,Achieving outstanding results and continuous improvement,"Describe how you've driven excellence in performance while leading a team through change.",Leadership,High,Siemens Values
Siemens,Leadership,Innovative,Pioneering technologies and breakthrough solutions,"Give me an example of when you championed an innovative solution that others initially doubted.",Leadership,High,Siemens Values
Siemens,Entry Level,Digital Transformation,Embracing technology to improve processes and outcomes,"Tell me about a time when you used technology or digital tools to solve a problem or improve efficiency.",Problem Solving,Low,Siemens Focus
Siemens,Mid Level,Global Collaboration,Working effectively across different cultures and regions,"Describe a successful project where you collaborated with international colleagues from different cultures.",Teamwork,Medium,Siemens Culture
ABB,Senior,Safety First,Prioritizing safety in all operations and decisions,"Give me an example of when you identified and addressed a safety concern that others might have overlooked.",Values,High,ABB Values
ABB,Mid Level,Integrity,Acting honestly and transparently in all business dealings,"Tell me about a difficult situation where you maintained your integrity despite potential negative consequences.",Values,Medium,ABB Values
ABB,Leadership,Innovation,Developing cutting-edge solutions for industrial challenges,"Describe when you led the development of an innovative solution to a complex technical or business problem.",Leadership,High,ABB Values
ABB,Entry Level,Customer Focus,Understanding and meeting customer needs effectively,"Give me an example of when you went out of your way to understand and address a customer's specific needs.",Culture Fit,Low,ABB Values
Airbus,Senior,Safety & Quality,Maintaining the highest standards in aerospace,"Tell me about a time when you ensured quality standards were met despite significant pressure or constraints.",Values,High,Airbus Values
Airbus,Leadership,Innovation,Pioneering aerospace technologies and solutions,"Give me an example of when you led an innovative project that pushed boundaries in your field.",Leadership,High,Airbus Values
Airbus,Mid Level,Collaboration,Working together across complex global teams,"Describe a challenging collaboration with multiple stakeholders across different countries and time zones.",Teamwork,Medium,Airbus Culture
Airbus,Entry Level,Customer Partnership,Building strong relationships with airline customers,"Tell me about a time when you built a strong relationship with a challenging customer or stakeholder.",Culture Fit,Low,Airbus Focus
BMW,Mid Level,Innovation,Driving technological advancement in automotive,"Tell me about a time when you introduced an innovative approach that improved product quality or efficiency.",Problem Solving,Medium,BMW Values
BMW,Senior,Sustainability,Balancing performance with environmental responsibility,"Describe how you've balanced performance objectives with sustainability considerations in a project.",Leadership,High,BMW Values
BMW,Leadership,Premium Quality,Maintaining luxury standards in all aspects,"Give me an example of when you maintained premium quality standards while managing cost or time pressures.",Leadership,High,BMW Values
BMW,Entry Level,Customer Experience,Creating exceptional experiences for premium customers,"Tell me about a time when you created a memorable positive experience for a customer or colleague.",Culture Fit,Low,BMW Focus
Shell,Senior,Honesty,Communicating truthfully and transparently,"Give me an example of when you had to deliver difficult news honestly while maintaining stakeholder relationships.",Values,High,Shell Values
Shell,Leadership,Respect,Valuing people and treating everyone with dignity,"Tell me about a time when you created an inclusive environment where everyone felt valued and heard.",Leadership,High,Shell Values
Shell,Mid Level,Courage,Taking bold action and speaking up when necessary,"Describe a situation where you showed courage by challenging the status quo or speaking up about an important issue.",Values,Medium,Shell Values
Shell,Entry Level,Innovation,Finding better ways to meet energy challenges,"Give me an example of when you found an innovative solution to improve efficiency or solve a problem.",Problem Solving,Low,Shell Values
Shell,Mid Level,Safety First,Prioritizing safety above all other considerations,"Tell me about a time when you had to stop work or change plans to ensure safety was maintained.",Values,Medium,Shell Culture
BP,Senior,Safety,Making safety the top priority in all operations,"Describe when you identified and addressed a potential safety risk that others had not noticed.",Values,High,BP Values
BP,Leadership,Respect,Treating people fairly and valuing diversity,"Give me an example of how you've promoted respect and inclusion in a diverse team environment.",Leadership,High,BP Values
